States,females,males,hispanic,not hispanic,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Two or more races,Age: [0-10],Age: [11-20],Age: [21-30],Age: [31-40],Age: [41-50],Age: [51-60],Age: [61-70],Age: [71-80],Age: [81-84],Age: [85]+,GDP Per Year (Normalized),Personal income per capita (Normalized),Personal Consumption expenditure per capita (Normalized),Presidential Approval Rating,GOP/Total Senate Seats pre-election,GOP/Total House Seats pre-election
Maryland 2012,5.16E-01,4.84E-01,8.68E-02,9.13E-01,6.06E-01,3.02E-01,5.42E-03,5.98E-02,9.62E-04,2.53E-02,1.36E-01,1.33E-01,1.38E-01,1.28E-01,1.48E-01,1.42E-01,9.57E-02,4.84E-02,1.31E-02,1.79E-02,334555.5,0.4546046721,0.3733054625,0.58,0,0.25
Maryland 2016,5.15E-01,4.85E-01,9.78E-02,9.02E-01,5.93E-01,3.07E-01,5.80E-03,6.48E-02,1.08E-03,2.78E-02,1.35E-01,1.26E-01,1.36E-01,1.32E-01,1.32E-01,1.45E-01,1.06E-01,5.57E-02,1.29E-02,1.92E-02,387620.2,0.5773360288,0.5086840245,0.6,0,0.125
Massachusetts 2012,5.15E-01,4.85E-01,1.03E-01,8.97E-01,8.34E-01,8.05E-02,4.68E-03,5.93E-02,9.39E-04,2.06E-02,1.22E-01,1.34E-01,1.41E-01,1.24E-01,1.46E-01,1.42E-01,9.92E-02,5.25E-02,1.59E-02,2.30E-02,444478.2,0.5396451033,0.5699794043,0.56,0.5,0
Massachusetts 2016,5.15E-01,4.85E-01,1.15E-01,8.85E-01,8.17E-01,8.66E-02,4.78E-03,6.71E-02,1.02E-03,2.37E-02,1.17E-01,1.29E-01,1.45E-01,1.27E-01,1.30E-01,1.45E-01,1.10E-01,5.88E-02,1.48E-02,2.34E-02,519143.5,0.7281446541,0.7365282346,0.62,0,0
Michigan 2012,5.09E-01,4.91E-01,4.63E-02,9.54E-01,8.01E-01,1.43E-01,7.08E-03,2.69E-02,3.67E-04,2.17E-02,1.32E-01,1.40E-01,1.29E-01,1.18E-01,1.39E-01,1.47E-01,1.03E-01,5.49E-02,1.56E-02,2.06E-02,418742.3,0.1291778976,0.2101072823,0.51,0,0.6666666667
Michigan 2016,5.08E-01,4.92E-01,4.99E-02,9.50E-01,7.95E-01,1.42E-01,7.26E-03,3.15E-02,3.97E-04,2.37E-02,1.28E-01,1.32E-01,1.36E-01,1.18E-01,1.25E-01,1.45E-01,1.17E-01,6.23E-02,1.46E-02,2.15E-02,488962.6,0.2544699012,0.3424425932,0.51,0,0.6428571429
Minnesota 2012,5.03E-01,4.97E-01,4.89E-02,9.51E-01,8.64E-01,5.61E-02,1.31E-02,4.42E-02,5.82E-04,2.22E-02,1.43E-01,1.34E-01,1.35E-01,1.26E-01,1.38E-01,1.43E-01,9.40E-02,5.10E-02,1.46E-02,2.10E-02,296272.5,0.3268418688,0.3560603732,0.5,0,0.5
Minnesota 2016,5.02E-01,4.98E-01,5.28E-02,9.47E-01,8.48E-01,6.41E-02,1.36E-02,4.93E-02,6.76E-04,2.43E-02,1.41E-01,1.30E-01,1.33E-01,1.33E-01,1.22E-01,1.42E-01,1.07E-01,5.67E-02,1.40E-02,2.17E-02,341696.3,0.4441823899,0.4794196305,0.52,0,0.375
Mississippi 2012,5.14E-01,4.86E-01,2.82E-02,9.72E-01,5.99E-01,3.74E-01,5.77E-03,9.47E-03,5.54E-04,1.09E-02,1.49E-01,1.43E-01,1.39E-01,1.25E-01,1.31E-01,1.33E-01,9.66E-02,5.41E-02,1.35E-02,1.59E-02,99616.3,0,0,0.44,1,0.75
Mississippi 2016,5.15E-01,4.85E-01,3.11E-02,9.69E-01,5.93E-01,3.78E-01,6.06E-03,1.04E-02,5.80E-04,1.25E-02,1.44E-01,1.38E-01,1.39E-01,1.26E-01,1.22E-01,1.33E-01,1.08E-01,5.98E-02,1.35E-02,1.71E-02,106492.9,0.05309973046,0.08195259906,0.44,1,0.75
